"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5334","Création de compte avec un numéro de téléphone valide","webkit","Mon Nov 04 14:16:07 CET 2024","passed","Mon Nov 04 14:16:13 CET 2024","Création de compte Amazon","AccountCreation.spec.ts","",""
"","8151","Création de compte avec un email valide","firefox","Mon Nov 04 14:15:49 CET 2024","passed","Mon Nov 04 14:15:57 CET 2024","Création de compte Amazon","AccountCreation.spec.ts","",""
"","12360","Création de compte avec un email valide","chromium","Mon Nov 04 14:41:02 CET 2024","failed","Mon Nov 04 14:41:14 CET 2024","Création de compte Amazon","AccountCreation.spec.ts","",""
"","6023","Recherche de produit et ajout au panier","chromium","Mon Nov 04 14:15:18 CET 2024","passed","Mon Nov 04 14:15:24 CET 2024","Tests de recherche, ajout au panier et connexion","Cart.spec.ts","",""
"","30016","Rechercher des téléviseurs et filtrer par marque Samsung","webkit","Mon Nov 04 14:16:12 CET 2024","broken","Mon Nov 04 14:16:42 CET 2024","Tests de recherche, ajout au panier et connexion","Cart.spec.ts","",""
"","30019","Rechercher des téléviseurs et filtrer par marque Samsung","firefox","Mon Nov 04 14:15:49 CET 2024","broken","Mon Nov 04 14:16:19 CET 2024","Tests de recherche, ajout au panier et connexion","Cart.spec.ts","",""
"","14785","Suppression d'un produit du panier","firefox","Mon Nov 04 14:15:49 CET 2024","passed","Mon Nov 04 14:16:04 CET 2024","Tests de recherche, ajout au panier et connexion","Cart.spec.ts","",""
"","9739","test de connexion avec Email invalide","firefox","Mon Nov 04 14:16:00 CET 2024","passed","Mon Nov 04 14:16:10 CET 2024","Feature: Login account","Login.spec.ts","",""
"","4837","Création de compte avec un email invalide","webkit","Mon Nov 04 14:16:07 CET 2024","passed","Mon Nov 04 14:16:12 CET 2024","Création de compte Amazon","AccountCreation.spec.ts","",""
"","15352","Recherche de produit et ajout au panier","webkit","Mon Nov 04 14:16:09 CET 2024","passed","Mon Nov 04 14:16:24 CET 2024","Tests de recherche, ajout au panier et connexion","Cart.spec.ts","",""
"","6619","Création de compte avec un numéro de téléphone valide","chromium","Mon Nov 04 14:41:15 CET 2024","failed","Mon Nov 04 14:41:22 CET 2024","Création de compte Amazon","AccountCreation.spec.ts","",""
"","14800","Suppression d'un produit du panier","webkit","Mon Nov 04 14:16:10 CET 2024","passed","Mon Nov 04 14:16:25 CET 2024","Tests de recherche, ajout au panier et connexion","Cart.spec.ts","",""
"","10201","Création de compte avec un email invalide","chromium","Mon Nov 04 14:41:22 CET 2024","failed","Mon Nov 04 14:41:33 CET 2024","Création de compte Amazon","AccountCreation.spec.ts","",""
"","14948","Recherche de produit et ajout au panier","firefox","Mon Nov 04 14:15:49 CET 2024","passed","Mon Nov 04 14:16:04 CET 2024","Tests de recherche, ajout au panier et connexion","Cart.spec.ts","",""
"","30010","Rechercher des téléviseurs et filtrer par marque Samsung","chromium","Mon Nov 04 14:15:18 CET 2024","broken","Mon Nov 04 14:15:48 CET 2024","Tests de recherche, ajout au panier et connexion","Cart.spec.ts","",""
"","17058","Création de compte avec un email invalide","firefox","Mon Nov 04 14:15:49 CET 2024","failed","Mon Nov 04 14:16:06 CET 2024","Création de compte Amazon","AccountCreation.spec.ts","",""
"","30019","Test End-to-End recherche-ajout-connexion","chromium","Mon Nov 04 14:15:18 CET 2024","broken","Mon Nov 04 14:15:48 CET 2024","Tests de recherche, ajout au panier et connexion","Cart.spec.ts","",""
"","30009","Suppression d'un produit du panier","chromium","Mon Nov 04 14:15:18 CET 2024","broken","Mon Nov 04 14:15:48 CET 2024","Tests de recherche, ajout au panier et connexion","Cart.spec.ts","",""
"","6668","Création de compte avec un email valide","webkit","Mon Nov 04 14:16:02 CET 2024","passed","Mon Nov 04 14:16:09 CET 2024","Création de compte Amazon","AccountCreation.spec.ts","",""
"","30016","test de connexion avec Email invalide","chromium","Mon Nov 04 14:15:24 CET 2024","broken","Mon Nov 04 14:15:54 CET 2024","Feature: Login account","Login.spec.ts","",""
"","7731","Création de compte avec un numéro de téléphone valide","firefox","Mon Nov 04 14:15:49 CET 2024","passed","Mon Nov 04 14:15:57 CET 2024","Création de compte Amazon","AccountCreation.spec.ts","",""
"","30010","test de connexion avec Email valide","firefox","Mon Nov 04 14:15:58 CET 2024","broken","Mon Nov 04 14:16:28 CET 2024","Feature: Login account","Login.spec.ts","",""
"","30018","test de connexion avec Email valide","webkit","Mon Nov 04 14:16:13 CET 2024","broken","Mon Nov 04 14:16:43 CET 2024","Feature: Login account","Login.spec.ts","",""
"","30015","test de connexion avec Email valide","chromium","Mon Nov 04 14:15:18 CET 2024","broken","Mon Nov 04 14:15:48 CET 2024","Feature: Login account","Login.spec.ts","",""
"","5483","test de connexion avec Email invalide","webkit","Mon Nov 04 14:16:21 CET 2024","passed","Mon Nov 04 14:16:27 CET 2024","Feature: Login account","Login.spec.ts","",""
"","30022","Test End-to-End recherche-ajout-connexion","webkit","Mon Nov 04 14:16:12 CET 2024","broken","Mon Nov 04 14:16:42 CET 2024","Tests de recherche, ajout au panier et connexion","Cart.spec.ts","",""
"","30031","Test End-to-End recherche-ajout-connexion","firefox","Mon Nov 04 14:15:49 CET 2024","broken","Mon Nov 04 14:16:19 CET 2024","Tests de recherche, ajout au panier et connexion","Cart.spec.ts","",""
